               ,open_time
Day-Med        ,0.2570674419403076
Week-Med       ,0.0326235294342041
Month-Med      ,0.09081220626831055
Month-Large    ,0.028045654296875
6-Months-Large ,0.03376269340515137
Year-Large     ,0.010286569595336914
