               ,Max_Rain_Test        ,Average_Small_Day    ,Average_Med_Day      ,Average_Large_Day   ,Average_Small_Week  ,Average_Med_Week    ,Average_Large_Week  ,Average_Small_Month  ,Average_Med_Month   ,Average_Large_Month ,Average_Small_6_Month ,Average_Med_6_Month  ,Average_Large_6_Month ,Average_Small_Year  ,Average_Med_Year     ,Average_Large_Year
Day-Med        ,11.621994972229004   ,0.12001175880432129  ,0.039896392822265626 ,0.4263651371002197  ,0.0418449878692627  ,0.04753694534301758 ,0.66438889503479    ,0.052581405639648436 ,0.03896656036376953 ,0.5714487552642822  , 0.023809385299682618 ,0.03916611671447754  ,  0.5784786224365235  ,0.05115699768066406 ,0.030486345291137695 ,0.676026725769043
Week-Med       , 1.352995014190674   ,0.04016413688659668  ,0.04065737724304199  ,0.30171756744384765 ,0.03265500068664551 ,0.03372588157653809 ,0.4196646213531494  ,0.040697765350341794 ,0.03994321823120117 ,0.3089855194091797  , 0.03583250045776367  ,0.03881535530090332  ,  0.31236696243286133 ,0.15383152961730956 ,0.03474359512329102  ,0.3039052486419678
Month-Med      , 1.4217549800872802  ,0.043185853958129884 ,0.03746438026428223  ,0.3239635944366455  ,0.04478397369384766 ,0.04297618865966797 ,0.4311882972717285  ,0.04138407707214355  ,0.04171490669250488 ,0.3059023380279541  , 0.04152092933654785  ,0.038626670837402344 ,  0.4382803440093994  ,0.04354329109191894 ,0.04356389045715332  ,0.2898151397705078
Month-Large    , 0.41608901023864747 ,0.08385090827941895  ,0.08514466285705566  ,0.18648581504821776 ,0.06679582595825195 ,0.08026285171508789 ,0.2652958869934082  ,0.0824368953704834   ,0.08153634071350098 ,0.21152796745300292 , 0.08244767189025878  ,0.08367290496826171  ,  0.25815353393554685 ,0.08204412460327148 ,0.08338603973388672  ,0.2616909027099609
6-Months-Large , 0.39164133071899415 ,0.0840181827545166   ,0.08432912826538086  ,0.1883157253265381  ,0.0828275203704834  ,0.083441162109375   ,0.26439690589904785 ,0.08410015106201171  ,0.081443452835083   ,0.26452460289001467 , 0.0827326774597168   ,0.08351449966430664  ,  0.26345367431640626 ,0.07905764579772949 ,0.08302874565124511  ,0.25466647148132326
Year-Large     , 0.36812844276428225 ,0.08147754669189453  ,0.06358537673950196  ,0.1861419200897217  ,0.08223538398742676 ,0.05186629295349121 ,0.2602369785308838  ,0.04760336875915527  ,0.07719311714172364 ,0.20346078872680665 , 0.06289167404174804  ,0.01970195770263672  ,  0.2072288990020752  ,0.07778735160827636 ,0.06706438064575196  ,0.25603222846984863
